dataset,source,seed,threshold,release,method,attack,n,d,classes,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,max_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,mean_radius,median_radius,purity_mean,purity_median,purity_q25,purity_q75,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
breast_cancer,sklearn.load_breast_cancer,1,0.7,release_3,matched_kmeans,logistic,569,30,2,2,142.0,142.0,91,193,0,0.0,0.0,4.33114798986035,4.33114798986035,0.9045436428856118,0.9045436428856118,0.8952770027899561,0.9138102829812675,0.46555742908153147,0.48258836474180644,0.01056338028169014,nan
breast_cancer,sklearn.load_breast_cancer,1,0.7,release_3,matched_kmeans,random_forest,569,30,2,2,142.0,142.0,91,193,0,0.0,0.0,4.33114798986035,4.33114798986035,0.9045436428856118,0.9045436428856118,0.8952770027899561,0.9138102829812675,0.5252554056734775,0.52466231428344,0.0,nan
breast_cancer,sklearn.load_breast_cancer,1,0.8,release_1,granular_ball,logistic,569,30,2,2,142.0,142.0,86,198,0,0.0,0.0,4.349237531197048,4.349237531197048,0.9244773314540757,0.9244773314540757,0.9041578576462298,0.9447968052619216,0.49980162666137673,0.5200562228768801,0.017605633802816902,nan
breast_cancer,sklearn.load_breast_cancer,1,0.8,release_1,granular_ball,random_forest,569,30,2,2,142.0,142.0,86,198,0,0.0,0.0,4.349237531197048,4.349237531197048,0.9244773314540757,0.9244773314540757,0.9041578576462298,0.9447968052619216,0.5482419162864509,0.5500013734005615,0.007042253521126761,nan
breast_cancer,sklearn.load_breast_cancer,1,0.8,release_1,matched_kmeans,logistic,569,30,2,2,142.0,142.0,91,193,0,0.0,0.0,4.33114798986035,4.33114798986035,0.9045436428856118,0.9045436428856118,0.8952770027899561,0.9138102829812675,0.5035707200952192,0.5230361186194915,0.02112676056338028,nan
breast_cancer,sklearn.load_breast_cancer,1,0.8,release_1,matched_kmeans,random_forest,569,30,2,2,142.0,142.0,91,193,0,0.0,0.0,4.33114798986035,4.33114798986035,0.9045436428856118,0.9045436428856118,0.8952770027899561,0.9138102829812675,0.5035459234278913,0.5168545343715837,0.0035211267605633804,nan
breast_cancer,sklearn.load_breast_cancer,1,0.8,release_2,granular_ball,logistic,569,30,2,2,142.0,142.0,86,198,0,0.0,0.0,4.349237531197048,4.349237531197048,0.9244773314540757,0.9244773314540757,0.9041578576462298,0.9447968052619216,0.46690884745090266,0.4921111084620641,0.01056338028169014,nan
breast_cancer,sklearn.load_breast_cancer,1,0.8,release_2,granular_ball,random_forest,569,30,2,2,142.0,142.0,86,198,0,0.0,0.0,4.349237531197048,4.349237531197048,0.9244773314540757,0.9244773314540757,0.9041578576462298,0.9447968052619216,0.544088474509026,0.5363363684125874,0.007042253521126761,nan
breast_cancer,sklearn.load_breast_cancer,1,0.8,release_2,matched_kmeans,logistic,569,30,2,2,142.0,142.0,91,193,0,0.0,0.0,4.33114798986035,4.33114798986035,0.9045436428856118,0.9045436428856118,0.8952770027899561,0.9138102829812675,0.46511108906962906,0.4816215444706892,0.01056338028169014,nan
breast_cancer,sklearn.load_breast_cancer,1,0.8,release_2,matched_kmeans,random_forest,569,30,2,2,142.0,142.0,91,193,0,0.0,0.0,4.33114798986035,4.33114798986035,0.9045436428856118,0.9045436428856118,0.8952770027899561,0.9138102829812675,0.5239039873041063,0.5248193773526768,0.0,nan
